100 50
1 1 B
1 2 N
1 3 N
1 4 N
1 5 N
1 6 N
1 7 N
1 8 N
1 9 B
1 10 N
1 11 N
1 12 T
1 13 N
1 14 H
1 15 N
1 16 T
1 17 T
1 18 B
1 19 N
1 20 N
1 21 T
1 22 H
1 23 N
1 24 T
1 25 N
1 26 N
1 27 T
1 28 N
1 29 T
1 30 T
1 31 N
1 32 B
1 33 N
1 34 H
1 35 B
1 36 H
1 37 N
1 38 N
1 39 T
1 40 H
1 41 N
1 42 N
1 43 N
1 44 N
1 45 N
1 46 T
1 47 N
1 48 N
1 49 H
1 50 B
2 1 N
2 2 B
2 3 T
2 4 N
2 5 N
2 6 H
2 7 N
2 8 N
2 9 T
2 10 N
2 11 B
2 12 N
2 13 N
2 14 B
2 15 H
2 16 B
2 17 B
2 18 N
2 19 N
2 20 T
2 21 T
2 22 N
2 23 N
2 24 N
2 25 N
2 26 H
2 27 N
2 28 T
2 29 N
2 30 T
2 31 H
2 32 T
2 33 T
2 34 N
2 35 N
2 36 H
2 37 N
2 38 N
2 39 N
2 40 N
2 41 N
2 42 N
2 43 T
2 44 N
2 45 N
2 46 N
2 47 B
2 48 T
2 49 B
2 50 N
3 1 N
3 2 N
3 3 N
3 4 N
3 5 T
3 6 T
3 7 N
3 8 N
3 9 H
3 10 H
3 11 H
3 12 H
3 13 N
3 14 N
3 15 N
3 16 N
3 17 T
3 18 N
3 19 H
3 20 T
3 21 N
3 22 N
3 23 T
3 24 T
3 25 T
3 26 N
3 27 N
3 28 H
3 29 N
3 30 N
3 31 T
3 32 T
3 33 N
3 34 T
3 35 T
3 36 N
3 37 B
3 38 H
3 39 N
3 40 H
3 41 T
3 42 N
3 43 N
3 44 T
3 45 T
3 46 N
3 47 N
3 48 N
3 49 N
3 50 H
4 1 N
4 2 B
4 3 N
4 4 N
4 5 N
4 6 H
4 7 N
4 8 B
4 9 N
4 10 T
4 11 H
4 12 H
4 13 T
4 14 N
4 15 N
4 16 B
4 17 H
4 18 H
4 19 N
4 20 T
4 21 N
4 22 N
4 23 N
4 24 B
4 25 H
4 26 H
4 27 N
4 28 N
4 29 N
4 30 N
4 31 T
4 32 N
4 33 H
4 34 N
4 35 H
4 36 N
4 37 H
4 38 N
4 39 N
4 40 H
4 41 N
4 42 N
4 43 H
4 44 H
4 45 N
4 46 N
4 47 N
4 48 T
4 49 B
4 50 H
5 1 N
5 2 N
5 3 N
5 4 N
5 5 N
5 6 N
5 7 T
5 8 N
5 9 N
5 10 N
5 11 H
5 12 N
5 13 N
5 14 N
5 15 N
5 16 H
5 17 N
5 18 N
5 19 T
5 20 N
5 21 N
5 22 N
5 23 N
5 24 T
5 25 H
5 26 H
5 27 N
5 28 N
5 29 H
5 30 N
5 31 B
